Lon'-157.9549528;Lat'21.43170684;Alt'5527.300501;Heading'69.51231647;Speed'61.33416231
Lon'-157.9535367;Lat'21.43234139;Alt'5510.294896;Heading'70.09766525;Speed'50.40840818
Lon'-157.9535367;Lat'21.43234139;Alt'5510.294896;Heading'70.09766525;Speed'50.40840818
Lon'-157.9512877;Lat'21.43396543;Alt'5618.739978;Heading'54.16986419;Speed'33.48419745
Lon'0;Lat'0;Alt'5621.889371;Heading'103.3673496;Speed'34.03089872
Lon'0.001430970931;Lat'0.001023651821;Alt'4693.734622;Heading'77.96871084;Speed'57.21565641
Lon'0.002730726315;Lat'0.001449764966;Alt'5088.858824;Heading'58.78420344;Speed'96.47390904
Lon'0.002730726315;Lat'0.001449764966;Alt'5088.858824;Heading'58.78420344;Speed'96.47390904
Lon'0.004842799653;Lat'0.0006082731151;Alt'5030.306322;Heading'66.78725102;Speed'136.9343657
Lon'0.005843400521;Lat'-0.0001712380103;Alt'5000.728176;Heading'67.92943052;Speed'139.1692476
Lon'0.006804447851;Lat'-0.001000046768;Alt'5016.957965;Heading'62.48933632;Speed'133.7321659
Lon'0.006804447851;Lat'-0.001000046768;Alt'5016.957965;Heading'62.48933632;Speed'133.7321659
Lon'0.008787716813;Lat'-0.002100806042;Alt'5017.51167;Heading'61.00075262;Speed'113.947393
Lon'0.009979168922;Lat'-0.002378939134;Alt'4970.303494;Heading'66.09702937;Speed'104.0410542
Lon'0.01127539;Lat'-0.00248262882;Alt'4948.712127;Heading'66.0306637;Speed'97.86463889
